id,latitude,longitude,nome,tipo,dist_origem_km,dist_concorrente_km,score_janela,score_dist_concorrente,score_potencial
5825997957,-16.849461,-49.5626549,Posto Santa Marta,fuel,211.00864821955028,22.58638311890982,1.0,0.035109757616314984,0.6530515936923595
7194266886,-16.8330406,-49.5379096,Restaurante Paulinho da Dodô,restaurant,207.80428346655194,20.007344155611438,1.0,0.03110073003506279,0.6518488854179838
5290074002,-17.1459093,-49.9886052,Posto Carvalho,fuel,267.00013090176304,19.50549968827313,1.0,0.03032063002894073,0.6516148554161473
2434679368,-17.139898,-49.9902827,Hotel Central,hotel,266.770695645122,19.414084690019212,1.0,0.03017852855061666,0.65157222497265
4373606550,-16.867961,-49.4919476,Hotel Fazenda Águas Claras,hotel,206.01401586187728,18.39116906622926,1.0,0.028588441309816314,0.6510951988004099
3014825144,-17.3945133,-50.3822417,Posto da Maria,fuel,317.10710815587083,69.4030934991146,0.9180587053064047,0.10788472761432437,0.6257193078756051
10159973267,-17.7514047,-50.8754566,Sem nome,restaurant,382.6635591756895,134.81455639305028,0.5289996488089644,0.2095646024063142,0.42278783641473794
10303507616,-17.7628668,-50.9077351,Sem nome,motel,386.20338647751066,138.3680278567236,0.5079917716468211,0.21508835187648095,0.41184023495850197
10278855745,-17.7907161,-50.8935104,Posto WK (Antigo Zero Um),fuel,386.72359155072644,138.85439882791673,0.5049045011826325,0.2158443988637432,0.41021468677616746
10300773718,-17.7859429,-50.9132848,Restaurante Popular,restaurant,388.14114178574636,140.28132023081915,0.4964917401439386,0.21806249922667792,0.4058324602618315
7132141038,-17.7794272,-50.924599,Sem nome,hotel,388.71720998958193,140.87308409185866,0.49307293774728833,0.21898237584516125,0.40405714180938634
2397425988,-17.7885754,-50.9179715,BR,fuel,388.71580202134066,140.8563464556566,0.49308129364189524,0.21895635776395583,0.4040543499217889
9528529244,-17.7847924,-50.9232707,Espetinho Do Vinícius,restaurant,388.93905584933543,141.08696712914127,0.49175634510780164,0.21931484968825954,0.40336692837862387
